lat,lon,iata,name,city,country,elevation
35.613,-100.99625,PPA,Perry Lefors Field,Pampa,US,3245.2
37.330814,-95.506175,PPF,Tri-City Airport,Parsons,US,900.5
41.572467,-86.734528,LPO,La Porte Municipal Airport,La Porte,US,812
46.688964,-68.044791,PQI,Presque Isle International Airport,Presque Isle,US,534
30.462772,-88.529229,PGL,Trent Lott International Airport,Pascagoula,US,16.8
35.672889,-120.627083,PRB,Paso Robles Municipal Airport,Paso Robles,US,838.7
34.654763,-112.419189,PRC,Prescott Regional/Ernest A Love Field,Prescott,US,5045.2
41.826444,-94.159556,PRO,Perry Municipal Airport,Perry,US,1013
33.636611,-95.45075,PRX,Cox Field,Paris,US,547.6
40.884391,-78.087342,PSB,Mid-State Airport,Philipsburg,US,1948
46.264948,-119.1194,PSC,Tri-Cities Airport,Pasco,US,410.3
42.42763,-73.290792,PSF,Pittsfield Municipal Airport,Pittsfield,US,1188.5
37.137336,-80.678479,PSK,New River Valley Airport,Dublin,US,2104.5
43.077944,-70.823278,PSM,Portsmouth International At Pease Airport,Portsmouth,US,100.4
31.779694,-95.706306,PSN,Palestine Municipal Airport,Palestine,US,422.6
37.286249,-107.056009,PGO,Stevens Field,Pagosa Springs,US,7663.3
33.82967,-116.506694,PSP,Palm Springs International Airport,Palm Springs,US,476.6
28.7275,-96.250944,PSX,Palacios Municipal Airport,Palacios,US,14.1
37.184301,-77.506174,PTB,Tri Cities Executive/Dinwiddie County Airport,Petersburg,US,192.7
42.665636,-83.420506,PTK,Oakland County International Airport,Pontiac,US,980.6
29.709546,-91.338979,PTN,Harry P Williams Memorial Airport,Patterson,US,8.5
37.450056,-94.731222,PTS,Atkinson Municipal Airport,Pittsburg,US,946.2
37.702528,-98.747,PTT,Pratt Regional Airport,Pratt,US,1952.6
36.029583,-119.062722,PTV,Porterville Municipal Airport,Porterville,US,443.2
40.239556,-75.556722,PTW,Heritage Field,Pottstown,US,308.2
38.289947,-104.498028,PUB,Pueblo Memorial Airport,Pueblo,US,4729.3
39.613889,-110.751611,PUC,Carbon County Regional/Buck Davis Field,Price,US,5957.6
46.741691,-117.111619,PUW,Pullman/Moscow Regional Airport,Pullman/Moscow,US,2566.6
42.072278,-70.220722,PVC,Provincetown Municipal Airport,Provincetown,US,7.8
41.722333,-71.427722,PVD,Rhode Island Tf Green International Airport,Providence,US,54
38.724227,-120.753309,PVF,Placerville Airport,Placerville,US,2585.8
40.219167,-111.723361,PVU,Provo Municipal Airport,Provo,US,4496.9
34.168147,-101.717336,PVW,Hale County Airport,Plainview,US,3374
35.534164,-97.647053,PWA,Wiley Post Airport,Oklahoma City,US,1299.6
48.790516,-104.523738,PWD,Sher-Wood Airport,Plentywood,US,2263.9
42.114279,-87.901541,PWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US,647
43.645643,-70.308616,PWM,Portland International Jetport Airport,Portland,US,75.7
47.49025,-122.764806,PWT,Bremerton Ntl Airport,Bremerton,US,444
41.908788,-70.727628,PYM,Plymouth Municipal Airport,Plymouth,US,148.1
42.76118,-87.813909,RAC,Batten International Airport,Racine,US,673.6
33.951889,-117.445111,RAL,Riverside Airport,Riverside,US,818.9
44.045333,-103.057361,RAP,Rapid City Regional Airport,Rapid City,US,3203.5
32.681306,-96.868778,RBD,Dallas Executive Airport,Dallas,US,660.5
43.239335,-123.355852,RBG,Roseburg Regional Airport,Roseburg,US,533.4
40.150306,-122.252194,RBL,Red Bluff Municipal Airport,Red Bluff,US,352.3
32.921041,-80.64059,RBW,Lowcountry Regional Airport,Walterboro,US,100.9
44.145094,-103.103567,RCA,Ellsworth Afb Airport,Rapid City,US,3276.3
